"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","age (years):ch1","mouse id:ch1","mouse strain:ch1","Sex:ch1","tissue:ch1"
"GSM7020568","genomic DNA from Brain from YoungHet5","GSM7020568","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Brain from YoungHet5","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet5","tissue: Brain","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020568/suppl/GSM7020568_206787360005_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020568/suppl/GSM7020568_206787360005_R05C01_Red.idat.gz","37554","0.5","YoungHet5","C57BL/6 WT","Female","Brain"
"GSM7020569","genomic DNA from Kidney from YoungHet5","GSM7020569","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Kidney from YoungHet5","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet5","tissue: Kidney","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020569/suppl/GSM7020569_206787360005_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020569/suppl/GSM7020569_206787360005_R06C01_Red.idat.gz","37554","0.5","YoungHet5","C57BL/6 WT","Female","Kidney"
"GSM7020570","genomic DNA from Heart from YoungHet5","GSM7020570","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Heart from YoungHet5","Mus musculus","age (years): 0.5","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHet5","tissue: Heart","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic parabiosis","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020570/suppl/GSM7020570_206787360005_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020570/suppl/GSM7020570_206787360005_R05C02_Red.idat.gz","37554","0.5","YoungHet5","C57BL/6 WT","Female","Heart"
"GSM7020571","genomic DNA from Liver from YoungHetRec1","GSM7020571","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Liver from YoungHetRec1","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec1","tissue: Liver","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020571/suppl/GSM7020571_204854860047_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020571/suppl/GSM7020571_204854860047_R02C02_Red.idat.gz","37554","0.666666667","YoungHetRec1","C57BL/6 WT","Female","Liver"
"GSM7020572","genomic DNA from Heart from YoungHetRec1","GSM7020572","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Heart from YoungHetRec1","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec1","tissue: Heart","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020572/suppl/GSM7020572_206787360001_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020572/suppl/GSM7020572_206787360001_R06C01_Red.idat.gz","37554","0.666666667","YoungHetRec1","C57BL/6 WT","Female","Heart"
"GSM7020573","genomic DNA from Brain from YoungHetRec1","GSM7020573","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Brain from YoungHetRec1","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec1","tissue: Brain","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020573/suppl/GSM7020573_206787360001_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020573/suppl/GSM7020573_206787360001_R01C02_Red.idat.gz","37554","0.666666667","YoungHetRec1","C57BL/6 WT","Female","Brain"
"GSM7020574","genomic DNA from Fat from YoungHetRec1","GSM7020574","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Fat from YoungHetRec1","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec1","tissue: Fat","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020574/suppl/GSM7020574_206787360001_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020574/suppl/GSM7020574_206787360001_R04C02_Red.idat.gz","37554","0.666666667","YoungHetRec1","C57BL/6 WT","Female","Fat"
"GSM7020575","genomic DNA from Kidney from YoungHetRec1","GSM7020575","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Kidney from YoungHetRec1","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec1","tissue: Kidney","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020575/suppl/GSM7020575_206787360001_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020575/suppl/GSM7020575_206787360001_R06C02_Red.idat.gz","37554","0.666666667","YoungHetRec1","C57BL/6 WT","Female","Kidney"
"GSM7020576","genomic DNA from Liver from YoungHetRec2","GSM7020576","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Liver from YoungHetRec2","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec2","tissue: Liver","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020576/suppl/GSM7020576_204854860047_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020576/suppl/GSM7020576_204854860047_R03C02_Red.idat.gz","37554","0.666666667","YoungHetRec2","C57BL/6 WT","Female","Liver"
"GSM7020577","genomic DNA from Heart from YoungHetRec2","GSM7020577","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Heart from YoungHetRec2","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec2","tissue: Heart","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020577/suppl/GSM7020577_206787360002_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020577/suppl/GSM7020577_206787360002_R01C01_Red.idat.gz","37554","0.666666667","YoungHetRec2","C57BL/6 WT","Female","Heart"
"GSM7020578","genomic DNA from Fat from YoungHetRec2","GSM7020578","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Fat from YoungHetRec2","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec2","tissue: Fat","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020578/suppl/GSM7020578_206787360002_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020578/suppl/GSM7020578_206787360002_R02C01_Red.idat.gz","37554","0.666666667","YoungHetRec2","C57BL/6 WT","Female","Fat"
"GSM7020579","genomic DNA from Brain from YoungHetRec2","GSM7020579","Public on Apr 21 2023","Feb 02 2023","Jul 03 2023","genomic","1","Brain from YoungHetRec2","Mus musculus","age (years): 0.666666667","mouse strain: C57BL/6 WT","Sex: Female","mouse id: YoungHetRec2","tissue: Brain","Parabiosis was carried out as previously described (Zhang et al., 2021). Female C57Bl/6 mice were pre-screened to minimize body size differences, and were randomly assigned to parabiosis pairs. Isochronic pairs consisted of two 3-month-old or 20-month-old mice and heterochronic pairs consisted of one 3-month-old mouse and one 20-month-old mouse. Pairs were surgically attached and maintained for 3 months. Following 3 months of parabiosis, a subset of mice were euthanized for analysis and another subset were surgically separated. Fascia and skin were sutured closed following separation, and mice were allowed to recover for 2 months, after which they were for euthanized for analysis.","This experiment was approved by the Duke University IACUC. C57Bl/6 mice were obtained from Jackson Laboratories and acclimated to our animal facility for at least 48 h before being subjected to any experimental manipulation. Aged C57Bl/6 mice for parabiosis experiments were obtained from the NIA aged rodent colony. Mice were maintained in a barrier facility in sterilized, ventilated cages and fed standard laboratory chow (LabDiet 5053) and reverse osmosis drinking water ad libitum and maintained on a 12h:12h light:dark cycle. Mice were generally housed socially. Mice were humanely euthanized at the conclusion of each experiment by CO2 exposure followed by cervical dislocation.","genomic DNA","DNA was isolated from whole blood using the DNeasy Blood and Tissue Kit (Qiagen) following the manufacturer’s protocol.","Cy3,Cy5","Standard Illumina protocol","10090","Standard Illumina protocol","Standard Illumina protocol","Young heterochronic recovery","For mammalian microarray analysis, raw methylation data were first normalized and beta values were calculated using the SeSAMe R package.","GPL28271","Jesse,,Poganik","Medicine/Genetics","Brigham and Women's Hospital, Harvard Medical School","77 Avenue Louis Pasteur","Boston","MA","02115","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020579/suppl/GSM7020579_206787360002_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7020nnn/GSM7020579/suppl/GSM7020579_206787360002_R01C02_Red.idat.gz","37554","0.666666667","YoungHetRec2","C57BL/6 WT","Female","Brain"
